plot_key,lat6,lon6,district,block,habitation,site_polygon,n_records,n_trees,loreys_h_m,loreys_h_tree_m,h_top5_m,crown_cover_pct,sal_ba_frac,n_species,dbh_mean_cm,no_tree_record,sp_ba_json,v120_merged_id,v120_merged_cluster,v120_merged_area_ha,v120_merged_bdist_m,v120_snic_id,v120_snic_cluster,v120_snic_area_ha,v120_snic_bdist_m,v120_dissolved_id,v120_dissolved_cluster,v120_dissolved_area_ha,v120_dissolved_bdist_m,current_merged_id,current_merged_cluster,current_merged_area_ha,current_merged_bdist_m,current_snic_id,current_snic_cluster,current_snic_area_ha,current_snic_bdist_m,current_dissolved_id,current_dissolved_cluster,current_dissolved_area_ha,current_dissolved_bdist_m
20.745076_84.695402,20.745076,84.695402,ANGUL,ATHAMALLIK,KANSAB,,74,32,7.633591722692743,7.738355701715403,8.6,53.0,6.985069414127303e-05,11,10.653434003213745,False,"{""alangium salvifolium"": 0.318, ""anacardium occidentale"": 962.887, ""anogeissus latifolia"": 0.318, ""antidesma acidum"": 2.546, ""buchanania lanzan"": 1089.654, ""casearia elliptica"": 99.79, ""cassia fistula"": 5.73, ""cipadessa baccifera"": 174.116, ""cleistanthus collinus"": 25.783, ""diospyros melanoxylon"": 1.353, ""diospyros montana"": 261.969, ""gardenia turgida"": 1356.159, ""grewia tiliifolia"": 49.736, ""holarrhena antidysenterica"": 323.244, ""lagerstroemia parviflora"": 70.665, ""other"": 0.318, ""pueraria tuberosa"": 0.716, ""schleichera oleosa"": 131.382, ""shorea robusta"": 0.318}",,,,,,,,,,,,,,,,,,,,,,,,
20.745582_84.692273,20.745582,84.692273,ANGUL,ATHAMALLIK,KANSAB,,42,22,16.790449749899384,17.235605264474803,22.18,53.0,0.043480135686770525,8,14.483099821362476,False,"{""alangium salvifolium"": 88.49, ""bauhinia vahlii"": 251.306, ""cipadessa baccifera"": 296.108, ""diospyros melanoxylon"": 0.955, ""diospyros montana"": 1224.618, ""gardenia turgida"": 1880.814, ""helicteres isora"": 1.035, ""holarrhena antidysenterica"": 432.344, ""lagerstroemia parviflora"": 86.66, ""leea asiatica"": 0.637, ""other"": 0.318, ""ougeinia oogeinsis"": 183.346, ""pueraria tuberosa"": 325.949, ""schleichera oleosa"": 0.955, ""shorea robusta"": 240.722, ""termanalia chebula"": 522.108}",,,,,,,,,,,,,,,,,,,,,,,,
20.746348_84.694433,20.746348,84.694433,ANGUL,ATHAMALLIK,KANSAB,,44,14,20.662030304879117,22.51162014361121,13.920000000000002,58.0,0.0,5,15.756339366097638,False,"{""casearia elliptica"": 175.866, ""cassia fistula"": 54.431, ""cipadessa baccifera"": 0.716, ""diospyros melanoxylon"": 107.748, ""gardenia turgida"": 967.582, ""helicteres isora"": 2.308, ""holarrhena antidysenterica"": 245.815, ""mimosa rubicaulis"": 0.318, ""ougeinia oogeinsis"": 412.53, ""pueraria tuberosa"": 0.318, ""schleichera oleosa"": 7161.972, ""smilax zeylanica"": 0.637}",,,,,,,,,,,,,,,,,,,,,,,,
20.747267_84.691992,20.747267,84.691992,ANGUL,ATHAMALLIK,KANSAB,,67,13,21.111193400977815,21.284998202263907,22.080000000000002,43.0,4.913642729037172e-05,5,21.27779162259339,False,"{""aegle marmelos"": 0.955, ""anogeissus latifolia"": 0.318, ""antidesma acidum"": 3.183, ""asparagus racemosus"": 0.955, ""bauhinia vahlii"": 2.308, ""buchanania lanzan"": 0.318, ""butea superba"": 3.899, ""casearia elliptica"": 84.511, ""cassia fistula"": 1.592, ""chloroxylon swietenia"": 0.716, ""dalbergia sissoo"": 0.318, ""diospyros melanoxylon"": 1.273, ""diospyros montana"": 2245.756, ""gardenia turgida"": 688.425, ""glochidion lanceolarium"": 0.318, ""holarrhena antidysenterica"": 325.551, ""krusnha chhuda"": 0.318, ""lagerstroemia parviflora"": 3113.787, ""lannea coromandelica"": 1.035, ""pueraria tuberosa"": 1.273, ""shorea robusta"": 0.318, ""shrub12 ghatak"": 0.637, ""ventilago denticulata"": 0.318}",,,,,,,,,,,,,,,,,,,,,,,,
20.759342_84.70982,20.759342,84.70982,ANGUL,ATHAMALLIK,GHANAJODI,,72,25,13.615325304581994,13.803333367229683,16.2,38.0,0.0,12,17.023212713109125,False,"{""anacardium occidentale"": 357.223, ""anogeissus latifolia"": 1472.82, ""antidesma acidum"": 1.273, ""bauhinia vahlii"": 0.637, ""buchanania lanzan"": 344.491, ""butea superba"": 8.435, ""careya arborea"": 1256.051, ""casearia elliptica"": 144.672, ""celastrus paniculata"": 0.318, ""cipadessa baccifera"": 0.637, ""climber1 nudurunai"": 1.989, ""diospyros melanoxylon"": 0.955, ""diospyros montana"": 1100.079, ""gardenia turgida"": 210.403, ""haldina cordifolia"": 184.142, ""holarrhena antidysenterica"": 104.724, ""lagerstroemia parviflora"": 1117.109, ""lannea coromandelica"": 1515.473, ""naringi crenulata"": 11.459, ""pueraria tuberosa"": 0.318, ""schleichera oleosa"": 111.329, ""smilax zeylanica"": 0.955, ""terminalia alata"": 2.626, ""terminalia bellirica"": 0.318, ""ziziphus oenoplia"": 0.637}",,,,,,,,,,,,,,,,,,,,,,,,
20.760064_84.721146,20.760064,84.721146,ANGUL,ATHAMALLIK,GHANAJODI,,38,18,12.10929704759992,12.198726278215762,15.66,38.0,0.0,10,13.13912474636425,False,"{""alangium salvifolium"": 196.158, ""anogeissus latifolia"": 811.77, ""butea superba"": 61.991, ""chloroxylon swietenia"": 630.97, ""diospyros montana"": 67.243, ""gardenia turgida"": 25.783, ""haldina cordifolia"": 240.722, ""holarrhena antidysenterica"": 135.998, ""lagerstroemia parviflora"": 464.573, ""lannea coromandelica"": 329.849, ""schleichera oleosa"": 5.093, ""semecarpus anacardium"": 198.944, ""strychnos potatorum"": 0.318, ""terminalia alata"": 0.318}",,,,,,,,,,,,,,,,,,,,,,,,
20.760492_84.717751,20.760492,84.717751,ANGUL,ATHAMALLIK,GHANAJODI,,43,18,33.57311264949205,33.83539444246296,27.0,43.0,0.0,8,17.913773039121107,False,"{""anogeissus latifolia"": 2354.22, ""butea superba"": 43.927, ""cassia fistula"": 3.263, ""dendrocalamus strictus"": 20.372, ""dhudur nai"": 1.989, ""diospyros melanoxylon"": 1.035, ""diospyros montana"": 455.263, ""gardenia turgida"": 62.15, ""holarrhena antidysenterica"": 886.97, ""lagerstroemia parviflora"": 434.493, ""lannea coromandelica"": 616.248, ""madhuca indica"": 2540.511, ""schleichera oleosa"": 5.411}",,,,,,,,,,,,,,,,,,,,,,,,
20.761327_84.711584,20.761327,84.711584,ANGUL,ATHAMALLIK,GHANAJODI,,54,21,7.437466440696206,8.616996148908855,11.8,48.0,0.0,6,10.761905675737685,False,"{""anogeissus latifolia"": 0.637, ""antidesma acidum"": 2.546, ""butea superba"": 54.113, ""combretum roxburghii"": 0.318, ""dioscorea bulbifera"": 0.318, ""diospyros melanoxylon"": 0.637, ""diospyros montana"": 434.254, ""gardenia turgida"": 243.03, ""haldina cordifolia"": 837.951, ""helicteres isora"": 1.91, ""holarrhena antidysenterica"": 4.218, ""lagerstroemia parviflora"": 476.828, ""terminalia alata"": 206.981, ""terminalia bellirica"": 694.393}",,,,,,,,,,,,,,,,,,,,,,,,
20.76148_84.72302,20.76148,84.72302,ANGUL,ATHAMALLIK,GHANAJODI,,63,30,9.615795493997476,10.910118548927612,14.86,43.0,0.011420322692638001,12,11.162066675511593,False,"{""albizia procera"": 376.64, ""buchanania lanzan"": 101.859, ""butea superba"": 30.796, ""careya arborea"": 31.831, ""cassia fistula"": 232.048, ""diospyros melanoxylon"": 0.955, ""diospyros montana"": 2.308, ""gardenia turgida"": 198.466, ""holarrhena antidysenterica"": 44.404, ""lagerstroemia parviflora"": 277.487, ""lannea coromandelica"": 183.665, ""semecarpus anacardium"": 0.318, ""shorea robusta"": 49.736, ""tectona grandis"": 1094.19, ""termanalia chebula"": 140.375, ""terminalia alata"": 1589.958}",,,,,,,,,,,,,,,,,,,,,,,,
20.761498_84.715991,20.761498,84.715991,ANGUL,ATHAMALLIK,GHANAJODI,,188,76,3.92646384094385,6.381133562625393,11.76,38.0,0.0,10,7.974500306499178,False,"{""anacardium occidentale"": 286.479, ""anogeissus latifolia"": 1658.076, ""antidesma acidum"": 1.273, ""buchanania lanzan"": 103.132, ""butea superba"": 28.648, ""cassia fistula"": 5.093, ""cleistanthus collinus"": 71.62, ""dioscorea bulbifera"": 1.273, ""diospyros melanoxylon"": 81.487, ""diospyros montana"": 4217.924, ""gardenia turgida"": 254.011, ""helicteres isora"": 2.546, ""holarrhena antidysenterica"": 195.124, ""lagerstroemia parviflora"": 660.811, ""lannea coromandelica"": 507.386, ""smilax zeylanica"": 23.555, ""stachytarpheta jamaicensis"": 81.487, ""terminalia alata"": 561.499}",,,,,,,,,,,,,,,,,,,,,,,,
20.76178_84.706629,20.76178,84.706629,ANGUL,ATHAMALLIK,GHANAJODI,,53,16,5.341069086968302,7.999367888748418,8.2,38.0,0.0,5,7.360916118000159,False,"{""anacardium occidentale"": 0.318, ""anogeissus latifolia"": 0.318, ""antidesma acidum"": 3.183, ""butea superba"": 67.004, ""casearia elliptica"": 43.37, ""climber1 nudurunai"": 1.989, ""dioscorea bulbifera"": 0.318, ""diospyros melanoxylon"": 4.854, ""diospyros montana"": 373.935, ""gardenia turgida"": 25.783, ""haldina cordifolia"": 357.223, ""holarrhena antidysenterica"": 8.117, ""lagerstroemia parviflora"": 425.978, ""manilkara hexandra"": 0.318, ""schleichera oleosa"": 0.318, ""terminalia alata"": 155.256, ""unidentified climber"": 0.318}",,,,,,,,,,,,,,,,,,,,,,,,
20.763036_84.72282,20.763036,84.72282,ANGUL,ATHAMALLIK,GHANAJODI,,27,13,12.374889517547212,13.467069131765395,12.8,68.0,0.0,6,10.798050754388592,False,"{""anogeissus latifolia"": 260.935, ""diospyros melanoxylon"": 0.955, ""haldina cordifolia"": 103.132, ""holarrhena antidysenterica"": 1.592, ""lagerstroemia parviflora"": 81.567, ""lannea coromandelica"": 1145.916, ""schleichera oleosa"": 0.318, ""tectona grandis"": 460.117, ""wrightia tinctoria"": 27.056}",,,,,,,,,,,,,,,,,,,,,,,,
20.76408_84.715482,20.76408,84.715482,ANGUL,ATHAMALLIK,GHANAJODI,,12,2,2.5771074457180143,2.592795497185741,1.1320000000000001,98.0,0.0,2,18.780283284843648,False,"{""butea superba"": 2.706, ""diospyros melanoxylon"": 1.989, ""hyptis suaveolens"": 0.955, ""lagerstroemia parviflora"": 20.372, ""phoenix dactylifera"": 827.924}",,,,,,,,,,,,,,,,,,,,,,,,
20.764457_84.718917,20.764457,84.718917,ANGUL,ATHAMALLIK,GHANAJODI,,49,22,17.595640751205867,18.021488924074053,21.2,43.0,0.0,7,14.106915410417997,False,"{""aegle marmelos"": 0.318, ""butea superba"": 141.25, ""casearia elliptica"": 215.973, ""chloroxylon swietenia"": 928.192, ""cleistanthus collinus"": 1064.03, ""diospyros montana"": 894.928, ""helicteres isora"": 5.173, ""holarrhena antidysenterica"": 0.318, ""lagerstroemia parviflora"": 169.102, ""schleichera oleosa"": 2037.502, ""wrightia tinctoria"": 119.525}",,,,,,,,,,,,,,,,,,,,,,,,
20.767532_84.743722,20.767532,84.743722,ANGUL,ATHAMALLIK,KANTAPADA,,18,5,11.776556953547336,12.354258031616524,8.6,48.0,0.0007654403674113762,4,12.66873347011487,False,"{""anacardium occidentale"": 0.318, ""anogeissus latifolia"": 258.547, ""bauhinia roxburghiana"": 49.736, ""casearia elliptica"": 431.867, ""combretum roxburghii"": 13.449, ""diospyros melanoxylon"": 1.313, ""diospyros montana"": 7.958, ""holarrhena antidysenterica"": 0.637, ""lantana camara"": 7.958, ""miliusa tomentosa"": 58.012, ""shorea robusta"": 0.637, ""woodfordia fruticosa"": 1.273}",,,,,,,,,,,,,,,,,,,,,,,,
