plot_key,district,habitation,field_type,loreys_h_m,crown_cover_pct,n_trees,n_species,sal_ba_frac
18.616768_82.842999,KORAPUT,BARIGUDA,4,10.17824655369216,58.0,10,4,0.0
18.616998_82.84222,KORAPUT,BARIGUDA,4,6.664992624159972,63.0,8,5,0.0
18.617277_82.841366,KORAPUT,BARIGUDA,4,9.111511072928598,58.0,12,6,0.0
18.624624_82.933586,KORAPUT,KHASUGUDA,2,4.550139240275932,48.0,2,2,0.0
18.637046_82.971078,KORAPUT,KHASUGUDA,0,4.42978942208515,33.0,15,12,0.0
18.637227_82.968882,KORAPUT,KHASUGUDA,0,8.20760012658558,38.0,10,10,0.0
18.637924_82.967885,KORAPUT,KHASUGUDA,0,5.751251227543181,33.0,10,8,0.0
18.6389_82.971745,KORAPUT,KHASUGUDA,0,4.463643396500879,58.0,13,11,0.0
18.639738_82.971846,KORAPUT,KHASUGUDA,0,7.939191120585781,63.0,11,10,0.0
18.639916_82.968455,KORAPUT,KHASUGUDA,4,5.826089461450969,28.0,6,6,0.0
18.640693_82.972283,KORAPUT,KHASUGUDA,0,5.568594503213712,43.0,9,8,0.0
18.641832_82.972375,KORAPUT,KHASUGUDA,0,5.91779884160368,38.0,11,9,0.0
18.641893_82.969522,KORAPUT,KHASUGUDA,0,6.315400737702093,28.0,9,7,0.0
18.644529_82.974055,KORAPUT,KHASUGUDA,0,10.048558120168469,48.0,10,7,0.0
18.652406_82.811505,KORAPUT,SAKIAGUDA,4,6.57339947089947,68.0,8,5,0.0
18.652437_82.811106,KORAPUT,SAKIAGUDA,4,6.660500525486073,58.0,10,6,0.0
18.65244_82.811768,KORAPUT,SAKIAGUDA,4,6.683410285714285,68.0,10,9,0.0
18.652644_82.812857,KORAPUT,SAKIAGUDA,4,6.11568361581921,78.0,7,3,0.0
18.652647_82.812143,KORAPUT,SAKIAGUDA,4,9.54607604964352,58.0,12,7,0.0
18.652919_82.810902,KORAPUT,SAKIAGUDA,0,8.093434569004021,58.0,14,9,0.0
18.653207_82.811814,KORAPUT,KHARAGUDA,4,7.510416925948974,78.0,7,4,0.0
18.653365_82.811206,KORAPUT,KHARAGUDA,4,14.622281768864054,63.0,10,8,0.0
18.653369_82.81268,KORAPUT,SAKIAGUDA,4,9.58115873763542,63.0,9,3,0.0
18.676799_82.963237,KORAPUT,BARAKANTI,4,7.098069379278516,48.0,11,3,0.0
18.677433_82.964683,KORAPUT,BARAKANTI,0,9.62301716518584,38.0,13,4,0.0
18.678063_82.960975,KORAPUT,BARAKANTI,4,9.33736693658448,38.0,8,3,0.0
18.678762_82.958297,KORAPUT,BARAKANTI,4,9.257100288667472,43.0,8,4,0.0
18.678843_82.963663,KORAPUT,BARAKANTI,4,9.21894829427656,38.0,10,4,0.0
18.679113_82.96907,KORAPUT,BARAKANTI,4,8.26830318690784,38.0,6,2,0.0
18.679282_82.97123,KORAPUT,BARAKANTI,4,9.893631572595243,43.0,7,4,0.0
18.679754_82.975404,KORAPUT,BARAKANTI,0,7.525267074780938,38.0,14,4,0.0
