plot_key,district,habitation,site_polygon,crown_cover_pct,meta_chm,habitat,hab_frac,indiasat_has_data,worldcover,lulc_2017,lulc_2018,lulc_2019,lulc_2020,lulc_2021
21.108009_85.565539,DHENKANAL,BALI SAHI,Kerijoli,33.0,14,1,1.0,1,10,6,6,6,6,6
21.108207_85.564337,DHENKANAL,BALI SAHI,Kerijoli,33.0,9,1,1.0,1,10,6,6,6,6,6
21.108502_85.564922,DHENKANAL,BALI SAHI,Kerijoli,28.0,10,1,1.0,1,10,6,6,6,6,6
21.109137_85.564208,DHENKANAL,BALI SAHI,Kerijoli,28.0,11,1,1.0,1,10,6,6,6,6,6
21.109653_85.563835,DHENKANAL,BALI SAHI,Kerijoli,23.0,1,1,1.0,1,10,6,6,6,6,6
21.110522_85.56385,DHENKANAL,BALI SAHI,Kerijoli,23.0,4,1,0.9116153064679988,1,10,6,6,6,6,6
21.154502_85.365229,DHENKANAL,RAIJHARANA,Pangatira,83.0,0,1,1.0,1,10,6,6,6,6,6
21.155752_85.365857,DHENKANAL,RAIJHARANA,Pangatira,68.0,0,1,1.0,1,10,6,6,6,6,6
21.156085_85.364999,DHENKANAL,RAIJHARANA,Pangatira,8.0,0,1,1.0,1,10,6,6,6,6,6
21.156_85.367028,DHENKANAL,RAIJHARANA,Pangatira,88.0,0,1,1.0,1,10,12,6,6,6,6
21.157913_85.365213,DHENKANAL,RAIJHARANA,Pangatira,68.0,0,1,1.0,1,10,6,6,6,6,6
21.158187_85.36696,DHENKANAL,RAIJHARANA,Pangatira,78.0,0,1,0.9844226210633255,1,10,6,6,6,6,6
21.158748_85.364022,DHENKANAL,RAIJHARANA,Pangatira,58.0,0,1,1.0,1,10,6,6,6,6,6
21.15983_85.365755,DHENKANAL,RAIJHARANA,Pangatira,88.0,0,1,1.0,1,10,6,6,6,6,6
21.160104_85.363229,DHENKANAL,RAIJHARANA,Pangatira,68.0,0,1,1.0,1,10,6,6,6,6,6
21.161816_85.365742,DHENKANAL,RAIJHARANA,Pangatira,68.0,0,1,1.0,1,10,6,6,6,6,6
21.574184_85.390018,KENDUJHAR,BHANRADI SAHI,,2.5,0,1,0.7322754895340988,1,30,10,10,6,12,12
21.574526_85.389458,KENDUJHAR,BHANRADI SAHI,,63.0,0,1,0.9821127235909551,1,30,10,10,6,6,6
21.574774_85.38847,KENDUJHAR,BHANRADI SAHI,,2.5,0,1,1.0,1,30,6,6,6,6,6
21.574844_85.390232,KENDUJHAR,JAKARBANDHA SAHI,,63.0,1,1,1.0,1,30,12,6,6,6,6
21.575176_85.390956,KENDUJHAR,BHANRADI SAHI,,8.0,0,1,1.0,1,30,6,6,6,6,6
21.57564_85.38927,KENDUJHAR,BHANRADI SAHI,,73.0,0,1,1.0,1,30,6,6,6,6,6
21.575764_85.387851,KENDUJHAR,BHANRADI SAHI,,38.0,5,1,1.0,1,30,6,6,6,6,6
21.614841_85.407242,KENDUJHAR,BHANRADI SAHI,,83.0,0,0,0.0,1,40,1,1,1,1,1
21.6178_85.381345,KENDUJHAR,TUNKULSAHI,,18.0,0,0,0.020580296896086373,1,30,10,10,10,8,10
21.618997_85.379154,KENDUJHAR,TUNKULSAHI,,63.0,0,1,1.0,1,10,6,6,6,6,6
21.621938_85.383944,KENDUJHAR,TUNKULSAHI,,2.5,0,0,0.27456940222897674,1,30,10,10,10,11,10
21.62195_85.383933,KENDUJHAR,TUNKULSAHI,,23.0,0,0,0.33029689608636975,1,30,10,10,10,11,10
