plot_key,district,habitation,site_polygon,crown_cover_pct,meta_chm,habitat,hab_frac,indiasat_has_data,worldcover,lulc_2017,lulc_2018,lulc_2019,lulc_2020,lulc_2021
18.578741_82.834651,KORAPUT,HANDAPUR,,38.0,0,1,1.0,1,30,6,6,6,6,6
18.579554_82.833869,KORAPUT,HANDAPUR,,23.0,0,1,0.9143054595715273,1,30,12,12,12,12,12
18.586698_82.830332,KORAPUT,HATIMUNDA,,43.0,0,1,1.0,1,10,6,6,6,6,6
18.587339_82.828831,KORAPUT,HATIMUNDA,,43.0,7,1,1.0,1,10,6,6,6,6,6
18.587424_82.827393,KORAPUT,HATIMUNDA,,78.0,0,1,1.0,1,10,6,6,6,6,6
18.587441_82.81896,KORAPUT,BILAPUT,,28.0,0,1,1.0,1,30,6,6,6,6,6
18.588535_82.82654,KORAPUT,HATIMUNDA,,53.0,7,1,1.0,1,10,6,6,6,6,6
18.58884_82.818969,KORAPUT,BILAPUT,,38.0,0,1,1.0,1,10,6,6,6,6,6
18.589041_82.818128,KORAPUT,BILAPUT,,43.0,0,1,1.0,1,30,6,6,6,6,6
18.589244_82.825077,KORAPUT,HATIMUNDA,,68.0,3,1,1.0,1,10,6,6,6,6,6
18.589309_82.825484,KORAPUT,HATIMUNDA,,33.0,2,1,1.0,1,10,6,6,6,6,6
18.589582_82.817618,KORAPUT,BILAPUT,,38.0,0,1,1.0,1,10,6,12,12,12,12
18.589732_82.827324,KORAPUT,HATIMUNDA,,13.0,1,1,1.0,1,10,6,6,6,6,6
18.590069_82.822561,KORAPUT,HATIMUNDA,,58.0,5,1,1.0,1,10,6,6,6,6,6
18.590157_82.829946,KORAPUT,HATIMUNDA,,13.0,0,1,1.0,1,30,6,6,6,6,6
18.590763_82.817554,KORAPUT,BILAPUT,,28.0,0,1,1.0,1,10,12,12,12,12,12
18.590785_82.824487,KORAPUT,HATIMUNDA,,13.0,0,1,1.0,1,10,6,6,6,6,6
18.590802_82.814215,KORAPUT,BILAPUT,,28.0,0,1,1.0,1,10,6,6,6,6,6
18.590809_82.826211,KORAPUT,HATIMUNDA,,13.0,0,0,0.26286701208980995,1,30,6,11,11,11,6
18.590818_82.825501,KORAPUT,HATIMUNDA,,13.0,0,0,0.417559626685102,1,30,11,11,11,11,11
18.590826_82.820535,KORAPUT,HATIMUNDA,,13.0,8,1,1.0,1,10,6,6,6,6,6
18.590907_82.822339,KORAPUT,HATIMUNDA,,13.0,8,1,1.0,1,10,6,6,6,6,6
18.591008_82.821617,KORAPUT,HATIMUNDA,,13.0,7,1,1.0,1,10,6,6,6,6,6
18.591102_82.824347,KORAPUT,HATIMUNDA,,8.0,0,1,0.8232654470141526,1,10,6,6,6,6,6
18.591333_82.817649,KORAPUT,BILAPUT,,28.0,0,1,1.0,1,10,6,6,6,6,6
18.591473_82.819057,KORAPUT,HATIMUNDA,,8.0,3,1,1.0,1,10,6,6,6,6,6
18.591548_82.816364,KORAPUT,BILAPUT,,48.0,0,1,1.0,1,10,12,12,12,12,6
18.591818_82.815917,KORAPUT,BILAPUT,,38.0,0,1,1.0,1,10,6,6,6,6,6
18.592142_82.814825,KORAPUT,BILAPUT,,33.0,0,1,1.0,1,10,6,6,6,6,6
18.59228_82.828686,KORAPUT,HATIMUNDA,,13.0,2,1,0.8994123746975459,1,10,6,6,6,6,6
18.592398_82.819353,KORAPUT,HATIMUNDA,,13.0,3,1,1.0,1,10,6,6,6,6,6
18.593711_82.815814,KORAPUT,HATIMUNDA,,13.0,0,1,1.0,1,30,6,6,6,6,6
18.594241_82.828147,KORAPUT,HATIMUNDA,,13.0,4,1,1.0,1,10,12,12,12,12,12
18.594449_82.811828,KORAPUT,HATIMUNDA,,18.0,0,1,1.0,1,30,6,6,6,6,6
18.594997_82.814868,KORAPUT,HATIMUNDA,,8.0,0,1,1.0,1,10,6,6,6,6,6
18.595014_82.827976,KORAPUT,HATIMUNDA,,23.0,3,1,1.0,1,10,6,6,6,12,12
18.595431_82.826381,KORAPUT,HATIMUNDA,,38.0,0,1,0.9657676348547719,1,30,6,6,6,6,6
18.595601_82.827027,KORAPUT,HATIMUNDA,,13.0,0,1,1.0,1,10,6,6,6,6,6
18.595819_82.826677,KORAPUT,HATIMUNDA,,13.0,0,1,1.0,1,10,6,6,6,6,6
18.596046_82.825038,KORAPUT,HATIMUNDA,,0.0,0,1,0.5852311939268462,1,30,6,6,6,6,6
18.596091_82.825235,KORAPUT,HATIMUNDA,,48.0,0,1,0.9026579219882638,1,30,6,6,6,6,6
18.596228_82.824514,KORAPUT,HATIMUNDA,,0.0,0,1,0.5319516407599312,1,30,6,6,6,6,6
18.596347_82.826101,KORAPUT,HATIMUNDA,,13.0,0,1,1.0,1,10,6,6,6,6,6
18.596368_82.824083,KORAPUT,HATIMUNDA,,0.0,0,0,0.14768806073153898,1,30,11,11,11,11,11
18.596488_82.814043,KORAPUT,HATIMUNDA,,18.0,0,1,1.0,1,10,6,6,6,6,6
18.596536_82.825133,KORAPUT,HATIMUNDA,,23.0,5,1,1.0,1,10,6,6,6,6,6
18.596726_82.822897,KORAPUT,HATIMUNDA,,0.0,0,0,0.0,1,30,11,10,11,11,11
18.596943_82.824312,KORAPUT,HATIMUNDA,,8.0,0,1,1.0,1,10,6,6,6,6,6
18.59697_82.823822,KORAPUT,HATIMUNDA,,28.0,0,1,1.0,1,30,12,12,12,12,12
18.597175_82.821483,KORAPUT,HATIMUNDA,,8.0,0,1,1.0,1,10,6,6,6,6,6
18.59731_82.823396,KORAPUT,HATIMUNDA,,0.0,0,1,1.0,1,30,6,6,6,6,6
18.59736_82.822354,KORAPUT,HATIMUNDA,,23.0,0,1,1.0,1,30,6,6,6,6,6
18.597398_82.824837,KORAPUT,HATIMUNDA,,48.0,0,1,1.0,1,10,6,12,12,12,12
18.597412_82.823824,KORAPUT,HATIMUNDA,,13.0,0,1,1.0,1,10,12,12,12,12,12
18.59743_82.823241,KORAPUT,HATIMUNDA,,8.0,0,1,1.0,1,30,6,6,6,6,6
18.597682_82.819763,KORAPUT,HATIMUNDA,,28.0,0,1,1.0,1,10,6,6,6,6,6
18.598169_82.819834,KORAPUT,HATIMUNDA,,18.0,0,1,1.0,1,30,6,6,6,6,6
18.598548_82.821378,KORAPUT,HATIMUNDA,,28.0,2,1,1.0,1,10,6,6,6,6,6
18.598995_82.819166,KORAPUT,HATIMUNDA,,23.0,0,1,1.0,1,10,6,6,12,12,6
18.602419_82.818844,KORAPUT,HATIMUNDA,,18.0,0,1,1.0,1,10,6,6,6,6,6
18.604711_82.818115,KORAPUT,HATIMUNDA,,18.0,0,1,0.7393855712806351,1,30,12,12,12,12,12
18.614284_82.839737,KORAPUT,BARIGUDA,,48.0,3,1,1.0,1,10,6,6,6,6,6
